kommuneCode;code;parentCode;level;name;shortName;notes;validFrom;validTo
301;30101;;1;Gamle Oslo;;;;
301;30102;;1;Grünerløkka;;;;
301;30103;;1;Sagene;;;;
301;30104;;1;St. Hanshaugen;;;;
301;30105;;1;Frogner;;;;
301;30106;;1;Ullern;;;;
301;30107;;1;Vestre Aker;;;;
301;30108;;1;Nordre Aker;;;;
301;30109;;1;Bjerke;;;;
301;30110;;1;Grorud;;;;
301;30111;;1;Stovner;;;;
301;30112;;1;Alna;;;;
301;30113;;1;Østensjø;;;;
301;30114;;1;Nordstrand;;;;
301;30115;;1;Søndre Nordstrand;;;;
301;30116;;1;Sentrum;;;;
301;30117;;1;Marka;;;;
301;30199;;1;Uoppgitt;;;;
1103;110301;;1;Hundvåg;;;;
1103;110302;;1;Tasta;;;;
1103;110303;;1;Eiganes og Våland;;;;
1103;110304;;1;Madla;;;;
1103;110305;;1;Storhaug;;;;
1103;110306;;1;Hillevåg;;;;
1103;110307;;1;Hinna;;;;
1103;110308;;1;Finnøy;;;;
1103;110309;;1;Rennesøy;;;;
1103;110399;;1;Uoppgitt;;;;
4601;460101;;1;Arna;;;;
4601;460102;;1;Bergenhus;;;;
4601;460103;;1;Fana;;;;
4601;460104;;1;Fyllingsdalen;;;;
4601;460105;;1;Laksevåg;;;;
4601;460106;;1;Ytrebygda;;;;
4601;460107;;1;Årstad;;;;
4601;460108;;1;Åsane;;;;
4601;460199;;1;Uoppgitt;;;;
5001;500101;;1;Midtbyen;;;;
5001;500102;;1;Østbyen;;;;
5001;500103;;1;Lerkendal;;;;
5001;500104;;1;Heimdal;;;;
5001;500199;;1;Uoppgitt;;;;
