kommuneCode,code,parentCode,level,name,shortName,notes,validFrom,validTo
301,3010100,,1,Sentrum 1,,,,
301,3010101,3010100,2,Sentrum 1  - Rode 1,,,,
301,3010102,3010100,2,Sentrum 1  - Rode 2,,,,
301,3010103,3010100,2,Sentrum 1  - Rode 3,,,,
301,3010104,3010100,2,Sentrum 1  - Rode 4,,,,
301,3010105,3010100,2,Sentrum 1  - Rode 5,,,,
301,3010200,,1,Sentrum 2,,,,
301,3010201,3010200,2,Sentrum 2  - Rode 1,,,,
301,3010202,3010200,2,Sentrum 2  - Rode 2,,,,
301,3010204,3010200,2,Sentrum 2  - Rode 4,,,,
301,3010205,3010200,2,Sentrum 2  - Rode 5,,,,
301,3010206,3010200,2,Sentrum 2  - Rode 6,,,,
301,3010207,3010200,2,Sentrum 2  - Rode 7,,,,
301,3010208,3010200,2,Sentrum 2  - Rode 8,,,,
301,3010209,3010200,2,Sentrum 2  - Rode 9,,,,
301,3010210,3010200,2,Sentrum 2  - Rode 10,,,,
301,3010211,3010200,2,Sentrum 2  - Rode 11,,,,
301,3010212,3010200,2,Sentrum 2  - Rode 12,,,,
301,3010213,3010200,2,Sentrum 2  - Rode 13,,,,
301,3010300,,1,Sentrum 3,,,,
301,3010301,3010300,2,Sentrum 3  - Rode 1,,,,
301,3010302,3010300,2,Sentrum 3  - Rode 2,,,,
301,3010303,3010300,2,Sentrum 3  - Rode 3,,,,
301,3010304,3010300,2,Sentrum 3  - Rode 4,,,,
301,3010305,3010300,2,Sentrum 3  - Rode 5,,,,
301,3010306,3010300,2,Sentrum 3  - Rode 6,,,,
301,3010307,3010300,2,Sentrum 3  - Rode 7,,,,
301,3010308,3010300,2,Sentrum 3  - Rode 8,,,,
301,3010309,3010300,2,Sentrum 3  - Rode 9,,,,
301,3010310,3010300,2,Sentrum 3  - Rode 10,,,,
301,3010400,,1,Filipstad,,,,
301,3010401,3010400,2,Filipstad,,,,
301,3010500,,1,Skillebekk,,,,
301,3010501,3010500,2,Skillebekk Rode 1,,,,
301,3010502,3010500,2,Skillebekk Rode 2,,,,
301,3010503,3010500,2,Skillebekk Rode 3,,,,
301,3010504,3010500,2,Skillebekk Rode 4,,,,
301,3010600,,1,Frogner,,,,
301,3010601,3010600,2,Frogner Rode 1,,,,
301,3010602,3010600,2,Frogner Rode 2,,,,
301,3010603,3010600,2,Frogner Rode 3,,,,
301,3010604,3010600,2,Frogner Rode 4,,,,
301,3010605,3010600,2,Frogner Rode 5,,,,
301,3010606,3010600,2,Frogner Rode 6,,,,
301,3010607,3010600,2,Frogner Rode 7,,,,
301,3010608,3010600,2,Frogner Rode 8,,,,
301,3010609,3010600,2,Frogner Rode 9,,,,
301,3010610,3010600,2,Frogner Rode 10,,,,
301,3010611,3010600,2,Frogner Rode 11,,,,
301,3010612,3010600,2,Frogner Rode 12,,,,
301,3010613,3010600,2,Frogner Rode 13,,,,
301,3010614,3010600,2,Frogner Rode 14,,,,
301,3010700,,1,Uranienborg,,,,
301,3010701,3010700,2,Uranienborg Rode 1,,,,
301,3010702,3010700,2,Uranienborg Rode 2,,,,
301,3010703,3010700,2,Uranienborg Rode 3,,,,
301,3010704,3010700,2,Uranienborg Rode 4,,,,
301,3010705,3010700,2,Uranienborg Rode 5,,,,
301,3010706,3010700,2,Uranienborg Rode 6,,,,
301,3010707,3010700,2,Uranienborg Rode 7,,,,
301,3010708,3010700,2,Uranienborg Rode 8,,,,
301,3010709,3010700,2,Uranienborg Rode 9,,,,
301,3010710,3010700,2,Uranienborg Rode 10,,,,
301,3010800,,1,Homansbyen,,,,
301,3010801,3010800,2,Homansbyen Rode 1,,,,
301,3010802,3010800,2,Homansbyen Rode 2,,,,
301,3010803,3010800,2,Homansbyen Rode 3,,,,
301,3010804,3010800,2,Homansbyen Rode 4,,,,
301,3010805,3010800,2,Homansbyen Rode 5,,,,
301,3010806,3010800,2,Homansbyen Rode 6,,,,
301,3010807,3010800,2,Homansbyen Rode 7,,,,
301,3010808,3010800,2,Homansbyen Rode 8,,,,
301,3010809,3010800,2,Homansbyen Rode 9,,,,
301,3010900,,1,Majorstuen,,,,
301,3010901,3010900,2,Majorstuen Rode 1,,,,
301,3010902,3010900,2,Majorstuen Rode 2,,,,
301,3010903,3010900,2,Majorstuen Rode 3,,,,
301,3010904,3010900,2,Majorstuen Rode 4,,,,
301,3010905,3010900,2,Majorstuen Rode 5,,,,
301,3010906,3010900,2,Majorstuen Rode 6,,,,
301,3010907,3010900,2,Majorstuen Rode 7,,,,
301,3010908,3010900,2,Majorstuen Rode 8,,,,
301,3010909,3010900,2,Majorstuen Rode 9,,,,
301,3010910,3010900,2,Majorstuen Rode 10,,,,
301,3010911,3010900,2,Majorstuen Rode 11,,,,
301,3010912,3010900,2,Majorstuen Rode 12,,,,
301,3010913,3010900,2,Majorstuen Rode 13,,,,
301,3011000,,1,Marienlyst,,,,
301,3011001,3011000,2,Marienlyst,,,,
301,3011100,,1,Fagerborg,,,,
301,3011101,3011100,2,Fagerborg Rode 1,,,,
301,3011102,3011100,2,Fagerborg Rode 2,,,,
301,3011103,3011100,2,Fagerborg Rode 3,,,,
301,3011104,3011100,2,Fagerborg Rode 4,,,,
301,3011105,3011100,2,Fagerborg Rode 5,,,,
301,3011106,3011100,2,Fagerborg Rode 6,,,,
301,3011200,,1,St.hanshaugen,,,,
301,3011201,3011200,2,St.hanshaugen Rode 1,,,,
301,3011202,3011200,2,St.hanshaugen Rode 2,,,,
301,3011203,3011200,2,St.hanshaugen Rode 3,,,,
301,3011204,3011200,2,St.hanshaugen Rode 4,,,,
301,3011205,3011200,2,St.hanshaugen Rode 5,,,,
301,3011206,3011200,2,St.hanshaugen Rode 6,,,,
301,3011207,3011200,2,St.hanshaugen Rode 7,,,,
301,3011208,3011200,2,St.hanshaugen Rode 8,,,,
301,3011209,3011200,2,St.hanshaugen Rode 9,,,,
301,3011210,3011200,2,St.hanshaugen Rode 10,,,,
301,3011211,3011200,2,St.hanshaugen Rode 11,,,,
301,3011300,,1,Gamle Aker,,,,
301,3011301,3011300,2,Gamle Aker Rode 1,,,,
301,3011302,3011300,2,Gamle Aker Rode 2,,,,
301,3011303,3011300,2,Gamle Aker Rode 3,,,,
301,3011304,3011300,2,Gamle Aker Rode 4,,,,
301,3011305,3011300,2,Gamle Aker Rode 5,,,,
301,3011400,,1,Ila,,,,
301,3011401,3011400,2,Ila Rode 1,,,,
301,3011402,3011400,2,Ila Rode 2,,,,
301,3011403,3011400,2,Ila Rode 3,,,,
301,3011404,3011400,2,Ila Rode 4,,,,
301,3011405,3011400,2,Ila Rode 5,,,,
301,3011406,3011400,2,Ila Rode 6,,,,
301,3011500,,1,Lindern,,,,
301,3011501,3011500,2,Lindern Rode 1,,,,
301,3011502,3011500,2,Lindern Rode 2,,,,
301,3011503,3011500,2,Lindern Rode 3,,,,
301,3011504,3011500,2,Lindern Rode 4,,,,
301,3011600,,1,Sagene,,,,
301,3011601,3011600,2,Sagene Rode 1,,,,
301,3011602,3011600,2,Sagene Rode 2,,,,
301,3011603,3011600,2,Sagene Rode 3,,,,
301,3011604,3011600,2,Sagene Rode 4,,,,
301,3011605,3011600,2,Sagene Rode 5,,,,
301,3011606,3011600,2,Sagene Rode 6,,,,
301,3011607,3011600,2,Sagene Rode 7,,,,
301,3011700,,1,Bjølsen,,,,
301,3011701,3011700,2,Bjølsen Rode 1,,,,
301,3011702,3011700,2,Bjølsen Rode 2,,,,
301,3011703,3011700,2,Bjølsen Rode 3,,,,
301,3011704,3011700,2,Bjølsen Rode 4,,,,
301,3011705,3011700,2,Bjølsen Rode 5,,,,
301,3011706,3011700,2,Bjølsen Rode 6,,,,
301,3011707,3011700,2,Bjølsen Rode 7,,,,
301,3011708,3011700,2,Bjølsen Rode 8,,,,
301,3011709,3011700,2,Bjølsen Rode 9,,,,
301,3011800,,1,Sandaker,,,,
301,3011801,3011800,2,Sandaker Rode 1,,,,
301,3011803,3011800,2,Sandaker Rode 3,,,,
301,3011804,3011800,2,Sandaker Rode 4,,,,
301,3011900,,1,Åsen,,,,
301,3011901,3011900,2,Åsen Rode 1,,,,
301,3011902,3011900,2,Åsen Rode 2,,,,
301,3011903,3011900,2,Åsen Rode 3,,,,
301,3011904,3011900,2,Åsen Rode 4,,,,
301,3011906,3011900,2,Åsen Rode 6,,,,
301,3011907,3011900,2,Åsen Rode 7,,,,
301,3011908,3011900,2,Åsen Rode 8,,,,
301,3011909,3011900,2,Åsen Rode 9,,,,
301,3011910,3011900,2,Åsen Rode 10,,,,
301,3012000,,1,Torshov,,,,
301,3012001,3012000,2,Torshov Rode 1,,,,
301,3012002,3012000,2,Torshov Rode 2,,,,
301,3012003,3012000,2,Torshov Rode 3,,,,
301,3012004,3012000,2,Torshov Rode 4,,,,
301,3012005,3012000,2,Torshov Rode 5,,,,
301,3012006,3012000,2,Torshov Rode 6,,,,
301,3012007,3012000,2,Torshov Rode 7,,,,
301,3012008,3012000,2,Torshov Rode 8,,,,
301,3012009,3012000,2,Torshov Rode 9,,,,
301,3012010,3012000,2,Torshov Rode 10,,,,
301,3012011,3012000,2,Torshov Rode 11,,,,
301,3012012,3012000,2,Torshov Rode 12,,,,
301,3012100,,1,Sinsen,,,,
301,3012101,3012100,2,Sinsen Rode 1,,,,
301,3012102,3012100,2,Sinsen Rode 2,,,,
301,3012103,3012100,2,Sinsen Rode 3,,,,
301,3012104,3012100,2,Sinsen Rode 4,,,,
301,3012105,3012100,2,Sinsen Rode 5,,,,
301,3012106,3012100,2,Sinsen Rode 6,,,,
301,3012107,3012100,2,Sinsen Rode 7,,,,
301,3012108,3012100,2,Sinsen Rode 8,,,,
301,3012109,3012100,2,Sinsen Rode 9,,,,
301,3012200,,1,Rodeløkka,,,,
301,3012201,3012200,2,Rodeløkka Rode 1,,,,
301,3012202,3012200,2,Rodeløkka Rode 2,,,,
301,3012203,3012200,2,Rodeløkka Rode 3,,,,
301,3012204,3012200,2,Rodeløkka Rode 4,,,,
301,3012205,3012200,2,Rodeløkka Rode 5,,,,
301,3012206,3012200,2,Rodeløkka Rode 6,,,,
301,3012207,3012200,2,Rodeløkka Rode 7,,,,
301,3012208,3012200,2,Rodeløkka Rode 8,,,,
301,3012209,3012200,2,Rodeløkka Rode 9,,,,
301,3012300,,1,Grünerløkka,,,,
301,3012301,3012300,2,Grünerløkka Rode 1,,,,
301,3012302,3012300,2,Grünerløkka Rode 2,,,,
301,3012303,3012300,2,Grünerløkka Rode 3,,,,
301,3012304,3012300,2,Grünerløkka Rode 4,,,,
301,3012305,3012300,2,Grünerløkka Rode 5,,,,
301,3012306,3012300,2,Grünerløkka Rode 6,,,,
301,3012307,3012300,2,Grünerløkka Rode 7,,,,
301,3012308,3012300,2,Grünerløkka Rode 8,,,,
301,3012309,3012300,2,Grünerløkka Rode 9,,,,
301,3012310,3012300,2,Grünerløkka Rode 10,,,,
301,3012311,3012300,2,Grünerløkka Rode 11,,,,
301,3012312,3012300,2,Grünerløkka Rode 12,,,,
301,3012313,3012300,2,Grünerløkka Rode 13,,,,
301,3012400,,1,Tøyen,,,,
301,3012401,3012400,2,Tøyen Rode 1,,,,
301,3012402,3012400,2,Tøyen Rode 2,,,,
301,3012403,3012400,2,Tøyen Rode 3,,,,
301,3012404,3012400,2,Tøyen Rode 4,,,,
301,3012405,3012400,2,Tøyen Rode 5,,,,
301,3012406,3012400,2,Tøyen Rode 6,,,,
301,3012407,3012400,2,Tøyen Rode 7,,,,
301,3012408,3012400,2,Tøyen Rode 8,,,,
301,3012409,3012400,2,Tøyen Rode 9,,,,
301,3012410,3012400,2,Tøyen Rode 10,,,,
301,3012500,,1,Grønland,,,,
301,3012502,3012500,2,Grønland Rode 2,,,,
301,3012503,3012500,2,Grønland Rode 3,,,,
301,3012504,3012500,2,Grønland Rode 4,,,,
301,3012505,3012500,2,Grønland Rode 5,,,,
301,3012506,3012500,2,Grønland Rode 6,,,,
301,3012507,3012500,2,Grønland Rode 7,,,,
301,3012508,3012500,2,Grønland Rode 8,,,,
