fylkeCode;kommuneCode;parentCode;level;name;shortName;notes;validFrom;validTo
3;301;;1;Oslo;;;;
11;1101;;1;Eigersund;;;;
11;1103;;1;Stavanger;;;;
11;1106;;1;Haugesund;;;;
11;1108;;1;Sandnes;;;;
11;1111;;1;Sokndal;;;;
11;1112;;1;Lund;;;;
11;1114;;1;Bjerkreim;;;;
11;1119;;1;Hå;;;;
11;1120;;1;Klepp;;;;
11;1121;;1;Time;;;;
11;1122;;1;Gjesdal;;;;
11;1124;;1;Sola;;;;
11;1127;;1;Randaberg;;;;
11;1130;;1;Strand;;;;
11;1133;;1;Hjelmeland;;;;
11;1134;;1;Suldal;;;;
11;1135;;1;Sauda;;;;
11;1144;;1;Kvitsøy;;;;
11;1145;;1;Bokn;;;;
11;1146;;1;Tysvær;;;;
11;1149;;1;Karmøy;;;;
11;1151;;1;Utsira;;;;
11;1160;;1;Vindafjord;;;;
15;1505;;1;Kristiansund;;;;
15;1506;;1;Molde;;;;
15;1507;;1;Ålesund;;;;
15;1511;;1;Vanylven;;;;
15;1514;;1;Sande;;;;
15;1515;;1;Herøy (Møre og Romsdal);;;;
15;1516;;1;Ulstein;;;;
15;1517;;1;Hareid;;;;
15;1520;;1;Ørsta;;;;
15;1525;;1;Stranda;;;;
15;1528;;1;Sykkylven;;;;
15;1531;;1;Sula;;;;
15;1532;;1;Giske;;;;
15;1535;;1;Vestnes;;;;
15;1539;;1;Rauma;;;;
15;1547;;1;Aukra;;;;
15;1554;;1;Averøy;;;;
15;1557;;1;Gjemnes;;;;
15;1560;;1;Tingvoll;;;;
15;1563;;1;Sunndal;;;;
15;1566;;1;Surnadal;;;;
15;1573;;1;Smøla;;;;
15;1576;;1;Aure;;;;
15;1577;;1;Volda;;;;
15;1578;;1;Fjord;;;;
15;1579;;1;Hustadvika;;;;
18;1804;;1;Bodø;;;;
18;1806;;1;Narvik;;;;
18;1811;;1;Bindal;;;;
18;1812;;1;Sømna;;;;
18;1813;;1;Brønnøy;;;;
18;1815;;1;Vega;;;;
18;1816;;1;Vevelstad;;;;
18;1818;;1;Herøy (Nordland);;;;
18;1820;;1;Alstahaug;;;;
18;1822;;1;Leirfjord;;;;
18;1824;;1;Vefsn;;;;
18;1825;;1;Grane;;;;
18;1826;;1;Aarborte - Hattfjelldal;;;;
18;1827;;1;Dønna;;;;
18;1828;;1;Nesna;;;;
18;1832;;1;Hemnes;;;;
18;1833;;1;Rana;;;;
18;1834;;1;Lurøy;;;;
18;1835;;1;Træna;;;;
18;1836;;1;Rødøy;;;;
18;1837;;1;Meløy;;;;
18;1838;;1;Gildeskål;;;;
18;1839;;1;Beiarn;;;;
18;1840;;1;Saltdal;;;;
18;1841;;1;Fauske - Fuossko;;;;
18;1845;;1;Sørfold;;;;
18;1848;;1;Steigen;;;;
18;1851;;1;Lødingen;;;;
18;1853;;1;Evenes;;;;
18;1856;;1;Røst;;;;
18;1857;;1;Værøy;;;;
18;1859;;1;Flakstad;;;;
18;1860;;1;Vestvågøy;;;;
18;1865;;1;Vågan;;;;
18;1866;;1;Hadsel;;;;
18;1867;;1;Bø;;;;
18;1868;;1;Øksnes;;;;
18;1870;;1;Sortland;;;;
18;1871;;1;Andøy;;;;
18;1874;;1;Moskenes;;;;
18;1875;;1;Hamarøy - Hábmer;;;;
30;3001;;1;Halden;;;;
30;3002;;1;Moss;;;;
30;3003;;1;Sarpsborg;;;;
30;3004;;1;Fredrikstad;;;;
30;3005;;1;Drammen;;;;
30;3006;;1;Kongsberg;;;;
30;3007;;1;Ringerike;;;;
30;3011;;1;Hvaler;;;;
30;3012;;1;Aremark;;;;
30;3013;;1;Marker;;;;
30;3014;;1;Indre Østfold;;;;
30;3015;;1;Skiptvet;;;;
30;3016;;1;Rakkestad;;;;
30;3017;;1;Råde;;;;
30;3018;;1;Våler (Viken);;;;
30;3019;;1;Vestby;;;;
30;3020;;1;Nordre Follo;;;;
30;3021;;1;Ås;;;;
30;3022;;1;Frogn;;;;
30;3023;;1;Nesodden;;;;
30;3024;;1;Bærum;;;;
30;3025;;1;Asker;;;;
30;3026;;1;Aurskog-Høland;;;;
30;3027;;1;Rælingen;;;;
30;3028;;1;Enebakk;;;;
30;3029;;1;Lørenskog;;;;
30;3030;;1;Lillestrøm;;;;
30;3031;;1;Nittedal;;;;
30;3032;;1;Gjerdrum;;;;
30;3033;;1;Ullensaker;;;;
30;3034;;1;Nes;;;;
30;3035;;1;Eidsvoll;;;;
30;3036;;1;Nannestad;;;;
30;3037;;1;Hurdal;;;;
30;3038;;1;Hole;;;;
30;3039;;1;Flå;;;;
30;3040;;1;Nesbyen;;;;
30;3041;;1;Gol;;;;
30;3042;;1;Hemsedal;;;;
30;3043;;1;Ål;;;;
30;3044;;1;Hol;;;;
30;3045;;1;Sigdal;;;;
30;3046;;1;Krødsherad;;;;
30;3047;;1;Modum;;;;
30;3048;;1;Øvre Eiker;;;;
30;3049;;1;Lier;;;;
30;3050;;1;Flesberg;;;;
30;3051;;1;Rollag;;;;
30;3052;;1;Nore og Uvdal;;;;
30;3053;;1;Jevnaker;;;;
30;3054;;1;Lunner;;;;
34;3401;;1;Kongsvinger;;;;
34;3403;;1;Hamar;;;;
34;3405;;1;Lillehammer;;;;
34;3407;;1;Gjøvik;;;;
34;3411;;1;Ringsaker;;;;
34;3412;;1;Løten;;;;
34;3413;;1;Stange;;;;
34;3414;;1;Nord-Odal;;;;
34;3415;;1;Sør-Odal;;;;
34;3416;;1;Eidskog;;;;
34;3417;;1;Grue;;;;
34;3418;;1;Åsnes;;;;
34;3419;;1;Våler (Innlandet);;;;
34;3420;;1;Elverum;;;;
34;3421;;1;Trysil;;;;
34;3422;;1;Åmot;;;;
